Restaurant Name,VORB,Round 1,Round 2,Finals,Quadrant
El Farolito,20.7,86,,,Habanero
Chando’s Tacos,9.1,91,,,Habanero
HRD Coffee Shop,15.4,84,,,Habanero
Taqueria Cancún,14.0,94,92,,Habanero
Garbo’s Grill,13.1,77,,,Habanero
Mr. Taco Mexican Food,1.3,60,,,Habanero
Little Donkey,3.5,80,86,,Habanero
Pedro & Vinny’s,12.0,60,,,Habanero
Delicious Mexican Eatery,2.7,92,94,95,Habanero
Joel’s,7.5,75,,,Habanero
Rancho Bravo,6.2,74,,,Habanero
Kono’s,7.3,87,,,Habanero
El Pelón Taqueria,15.4,79,79,,Habanero
Anna’s Taqueria,8.8,78,,,Habanero
Lloyd Taco Truck,9.5,70,,,Habanero
Loco Coco’s Tacos,8.3,78,,,Habanero
Frontier Restaurant,9.0,74,,,Poblano
Duran Central Pharmacy,-0.3,80,,,Poblano
The Pantry Restaurant,11.0,88,84,,Poblano
Pepper Pot,0.2,79,,,Poblano
L’Patron Tacos,8.3,84,,,Poblano
Mission Cantina,N/A,88,,,Poblano
Taqueria Tlaxcalli,8.8,91,92,90,Poblano
Tres Carnes,6.7,85,,,Poblano
Lolita’s Taco Shop,14.5,88,90,,Poblano
El Zarape,15.1,81,,,Poblano
Lucha Libre Taco Shop,14.8,81,,,Poblano
Spencer Makenzie’s Fish Co.,4.8,86,,,Poblano
Breakfast Burritos Anon.,1.5,80,82,,Poblano
Mi Casita,7.6,67,,,Poblano
Salsa Limón Museo,3.2,73,,,Poblano
El Rio Verde,7.4,75,,,Poblano
Bell Street Burritos,2.7,78,86,,Serrano
Raging Burrito & Taco,6.9,64,,,Serrano
Baja Burrito,10.4,70,,,Serrano
Juan’s Flying Burrito,8.7,64,,,Serrano
Manuel’s El Tepeyac Café,13.0,94,,,Serrano
Al & Bea’s Mexican Food,10.7,96,94,94,Serrano
Athenian III,4.5,94,,,Serrano
La Azteca Tortilleria,9.4,90,,,Serrano
Los Gallos Mexican Taqueria,4.8,77,,,Serrano
Cucina Zapata,8.6,75,,,Serrano
Pancho’s Mexican Taqueria,3.0,88,92,,Serrano
Tortacos,7.6,81,,,Serrano
Carolina’s Mexican Food,6.8,89,89,,Serrano
KoMex Fusion,16.9,70,,,Serrano
St. Mary’s Tortilla Factory,3.8,80,,,Serrano
Vincent’s on Camelback,N/A,72,,,Serrano
La Pasadita,5.3,85,80,,Jalapeno
Irazu,10.0,64,,,Jalapeno
La Michoacana Taqueria,8.3,82,,,Jalapeno
Northstar Café,11.5,72,,,Jalapeno
Illegal Pete’s,10.4,72,,,Jalapeno
Cabo Bob’s Burritos,12.5,74,78,,Jalapeno
The Original Chubby’s,4.9,72,,,Jalapeno
Pepe Delgados,7.5,68,,,Jalapeno
Carrburritos,5.2,70,,,Jalapeno
Flaming Amy’s Burrito Barn,10.0,58,,,Jalapeno
Black Bear Burritos,8.0,58,,,Jalapeno
Tortilleria Y Taqueria Ramirez,0.7,91,94,,Jalapeno
La Taqueria,14.2,98,95,96,Jalapeno
Dos Chinos,6.0,74,,,Jalapeno
El Chato Taco Truck,15.3,86,,,Jalapeno
Rosa Maria’s Drive-In,9.7,90,,,Jalapeno
