WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
33,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,3,Tsurenko L.,Arruabarrena-Vecino L.,69,80,903,817,6,1,6,3,,,2,0,Completed,1.33,3.25,1.35,3.15,1.36,3,1.38,3.32,1.36,3,1.42,3.55,1.36,3.09
33,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,3,Pennetta F.,Baltacha E.,166,167,375,371,6,4,6,1,,,2,0,Completed,2.1,1.66,2.15,1.65,2,1.8,2.12,1.81,2,1.8,2.3,1.81,2.06,1.74
33,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,3,Cornet A.,King V.,31,113,1545,583,4,6,6,3,6,1,2,1,Completed,1.5,2.5,1.6,2.3,1.53,2.38,1.68,2.32,1.62,2.25,1.69,2.7,1.57,2.38
33,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,3,Puig M.,Errani S.,65,5,929,5335,6,3,6,2,,,2,0,Completed,6,1.12,6,1.12,7,1.1,7.24,1.13,5.5,1.14,7.5,1.17,6.06,1.12
33,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,3,Knapp K.,Hradecka L.,104,89,620,763,6,3,6,4,,,2,0,Completed,2.2,1.61,2.4,1.55,2.25,1.57,2.34,1.68,2.25,1.62,2.48,1.68,2.29,1.61
33,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,3,Ivanovic A.,Razzano V.,12,158,2920,400,7,6,6,0,,,2,0,Completed,1.12,6,1.12,6,1.12,6,1.14,6.83,1.13,6,1.17,6.83,1.13,5.99
33,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,3,Safarova L.,Davis L.,30,85,1560,787,6,4,6,0,,,2,0,Completed,1.16,5,1.16,5,1.17,4.5,1.17,5.98,1.14,5.5,1.2,6.3,1.17,4.99
33,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,3,Soler Espinosa S.,Doi M.,74,94,874,708,1,6,6,4,6,1,2,1,Completed,2.37,1.53,2.4,1.55,2.38,1.53,2.31,1.69,2.38,1.57,2.5,1.7,2.33,1.59
33,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,3,Birnerova E.,Lepchenko V.,152,29,419,1566,6,2,4,6,6,4,2,1,Completed,4.5,1.18,4.4,1.2,4,1.22,4.93,1.22,4.5,1.2,5.5,1.22,4.55,1.2
33,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,3,Bouchard E.,Voskoboeva G.,66,88,924,777,5,7,7,6,6,4,2,1,Completed,2,1.72,2,1.78,2,1.73,1.99,1.92,2.1,1.73,2.1,1.92,1.99,1.78
33,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,3,Dolonc V.,Wickmayer Y.,97,40,688,1365,3,6,6,2,6,4,2,1,Completed,3.4,1.3,3.45,1.3,3.5,1.29,3.33,1.37,3.25,1.33,3.75,1.38,3.33,1.32
33,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,3,Azarenka V.,Koehler M.J.,2,106,9625,609,6,1,6,2,,,2,0,Completed,1.002,34,1.01,20,1.02,17,1.01,29.16,1.01,15,1.02,36,1.01,20.03
33,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,3,Lucic M.,Arvidsson S.,96,83,691,800,6,1,6,4,,,2,0,Completed,1.4,2.75,1.45,2.7,1.44,2.62,1.58,2.56,1.44,2.75,1.58,2.98,1.46,2.67
